ein,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
811425641,San Diego,CA,92124-2118,3,,,,,
834074233,San Diego,CA,92103-1931,3,,,,,
870715085,San Diego,CA,92110-1445,3,2011.0,66004.0,66004.0,0.0,
455050462,San Diego,CA,92106-1328,3,,,,,
371709722,San Diego,CA,92127-3852,3,,,,,
330911341,San Diego,CA,92131-3633,3,2022.0,0.0,957.0,21165.0,
331294596,San Diego,CA,92126-4593,3,,,,,
201330136,San Diego,CA,92196-2367,3,,,,,
821878381,San Diego,CA,92113-2117,3,,,,,
331921953,San Diego,CA,92130-4891,3,,,,,
994377443,San Diego,CA,92127-4156,3,,,,,
883554704,San Diego,CA,92110-4152,3,,,,,
450533339,San Diego,CA,92103-3862,3,,,,,
463294157,San Diego,CA,92101-7091,3,,,,,
956112989,San Diego,CA,92121-2976,3,,,,,
922959952,San Diego,CA,92154-6710,3,,,,,
333046009,San Diego,CA,92111-1922,3,,,,,
833598471,San Diego,CA,92103-2110,3,,,,,
993762317,San Diego,CA,92129-5080,3,,,,,
852977650,San Diego,CA,92154-6701,3,,,,,
330458158,San Diego,CA,92102-2631,3,,,,,
452810605,San Diego,CA,92110-3519,3,,,,,
262497955,San Diego,CA,92121-6303,3,,,,,
953320055,San Diego,CA,92119-1775,3,,,,,
330856887,San Diego,CA,92114-2205,3,,,,,
364769253,San Diego,CA,92111-1327,3,,,,,
953838693,San Diego,CA,92116-2643,3,,,,,
844596732,San Diego,CA,92121-3232,3,,,,,
953826794,San Diego,CA,92117-1927,3,,,,,
884300488,San Diego,CA,92115-1602,3,,,,,
330036542,San Diego,CA,92128-4021,3,,,,,
392254903,San Diego,CA,92103-5283,3,,,,,
821733550,San Diego,CA,92131-2912,3,,,,,
956226828,San Diego,CA,92123-3934,3,,,,,
843139589,San Diego,CA,92106-3123,3,,,,,
237008268,San Diego,CA,92103-3012,3,,,,,
952635844,San Diego,CA,92139-3600,3,,,,,
452305329,San Diego,CA,92121-3095,3,,,,,
953850356,San Diego,CA,92115-1737,3,,,,,
822917400,San Diego,CA,92121-2348,3,,,,,
813252292,San Diego,CA,92127-5904,3,,,,,
330661442,San Diego,CA,92112-6486,3,,,,,
863107749,San Diego,CA,92109-2057,3,,,,,
203444976,San Diego,CA,92126-4470,3,,,,,
831105203,San Diego,CA,92130-2199,3,,,,,
392956161,San Diego,CA,92122-5636,3,,,,,
330888725,San Diego,CA,92106-1988,3,,,,,
813034279,San Diego,CA,92117-5504,3,,,,,
334247290,San Diego,CA,92122-1711,3,,,,,
933366940,San Diego,CA,92137-1067,3,,,,,
394767841,San Diego,CA,92105-2405,3,,,,,
922098438,San Diego,CA,92111-2808,3,,,,,
956102290,San Diego,CA,92108-4101,3,,,,,
330407710,San Diego,CA,92113-3315,3,,,,,
383814266,San Diego,CA,92113-2209,3,2018.0,124680.0,131691.0,28440.0,
993994690,San Diego,CA,92113-1644,3,,,,,
993810635,Vista,CA,92084-3242,3,,,,,
273947196,San Diego,CA,92186-5728,3,,,,,
464471405,San Diego,CA,92129-0000,3,,,,,
